granule_id,product_id,category,observation_time,latitude,longitude,value,secondary_value,unit,state,district
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,35.75,74.65,1.387,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,35.55,73.75,0.894,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,35.55,73.85,0.905,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,35.55,73.95,0.897,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,35.45,74.25,1.019,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,35.45,74.35,0.974,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,35.45,74.45,1.055,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.55,73.45,0.418,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.55,74.25,0.65,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.55,74.35,0.718,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.55,74.45,0.907,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.45,73.45,0.438,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.45,73.55,0.483,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.45,73.65,0.517,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.45,73.75,0.626,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.45,74.35,0.718,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.45,74.45,0.718,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.45,74.55,0.744,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.45,74.75,0.799,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.45,76.05,1.041,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.35,73.45,0.433,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.35,73.55,0.459,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.35,73.65,0.515,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.35,74.35,0.669,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.35,74.45,0.718,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.35,74.55,0.735,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.35,74.65,0.749,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.35,74.75,0.799,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.25,73.55,0.408,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.25,73.65,0.422,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.25,73.75,0.395,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.25,73.95,0.644,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.25,74.35,0.669,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.25,74.45,0.707,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.25,74.55,0.727,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.25,74.65,0.779,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.25,74.75,0.81,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.25,74.85,0.88,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.15,73.65,0.37,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.15,73.75,0.363,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.15,73.85,0.395,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.15,74.35,0.652,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.15,74.45,0.697,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.15,74.55,0.735,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.15,74.65,0.825,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.15,74.75,0.864,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.15,74.85,0.88,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.05,73.65,0.332,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.05,73.75,0.332,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.05,74.65,0.825,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.05,74.75,0.837,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.05,74.85,0.837,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,34.05,74.95,0.866,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.95,73.65,0.336,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.95,73.75,0.28,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.95,73.85,0.28,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.95,74.75,0.847,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.95,74.85,0.845,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.95,74.95,0.866,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.95,75.05,0.937,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.85,73.65,0.107,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.85,73.75,0.105,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.85,73.85,0.085,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.85,74.05,0.611,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.85,74.15,0.611,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.85,74.25,0.611,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.85,74.85,0.781,,Optical Thickness,,
3SIMG_12SEP2026_0830_L2G_AOD_V01R00,3SIMG_L2G_AOD,environment,2026-09-12 08:30:00+00:00,33.85,74.95,0.781,,Optical Thickness,,
