granule_id,product_id,category,observation_time,latitude,longitude,value,secondary_value,unit,state,district
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.89,50.01,31.56,304.71,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.75,50.02,31.83,304.98,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.51,50.39,31.61,304.76,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.5,50.45,31.85,305.0,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.46,50.35,31.36,304.51,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.46,50.41,31.63,304.78,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.46,50.46,31.83,304.98,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.42,50.37,31.37,304.52,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.41,50.43,31.53,304.68,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.41,50.48,31.7,304.85,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.37,50.39,31.39,304.54,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.37,50.45,31.44,304.59,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.36,50.5,31.6,304.75,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.33,50.3,31.62,304.77,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.33,50.36,31.53,304.68,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.32,50.41,31.47,304.62,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.32,50.47,31.44,304.59,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.28,50.32,31.65,304.8,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.28,50.38,31.57,304.72,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.28,50.43,31.49,304.64,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.27,50.49,31.48,304.63,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.24,50.34,31.58,304.73,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.23,50.39,31.51,304.66,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.23,50.45,31.47,304.62,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.23,50.5,31.51,304.66,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.2,50.09,32.06,305.21,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.2,50.14,32.05,305.2,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.2,50.2,31.88,305.03,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.19,50.25,31.78,304.93,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.18,50.47,31.39,304.54,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.16,50.05,32.31,305.46,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.16,50.1,32.21,305.36,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.15,50.16,32.18,305.33,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.15,50.21,32.0,305.15,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.15,50.27,31.84,304.99,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.14,50.49,31.41,304.56,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.12,50.01,32.5,305.65,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.11,50.07,32.46,305.61,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.11,50.12,32.36,305.51,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.11,50.18,32.33,305.48,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.1,50.23,32.16,305.31,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.1,50.29,32.0,305.15,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.1,50.34,31.71,304.86,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.07,50.03,32.55,305.7,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.07,50.09,32.53,305.68,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.06,50.14,32.46,305.61,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.06,50.2,32.46,305.61,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.06,50.25,32.33,305.48,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.06,50.31,32.2,305.35,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.05,50.36,31.96,305.11,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.05,50.42,31.77,304.92,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.05,50.47,31.56,304.71,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.02,50.05,32.69,305.84,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.02,50.11,32.7,305.85,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.02,50.16,32.67,305.82,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.01,50.22,32.67,305.82,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.01,50.27,32.56,305.71,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.01,50.32,32.44,305.59,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.01,50.38,32.23,305.38,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.0,50.43,32.02,305.17,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,29.0,50.49,31.76,304.91,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.98,50.02,32.79,305.94,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.98,50.07,32.8,305.95,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.97,50.13,32.82,305.97,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.97,50.18,32.82,305.97,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.97,50.23,32.81,305.96,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.97,50.29,32.7,305.85,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.96,50.34,32.57,305.72,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.96,50.4,32.37,305.52,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.96,50.45,32.17,305.32,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.95,50.51,31.92,305.07,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.93,50.03,32.9,306.05,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.93,50.09,32.92,306.07,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.93,50.14,32.93,306.08,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.92,50.2,32.97,306.12,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.92,50.25,32.94,306.09,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.92,50.31,32.83,305.98,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.92,50.36,32.67,305.82,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.91,50.42,32.47,305.62,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.91,50.47,32.27,305.42,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.89,50.05,32.97,306.12,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.88,50.11,32.99,306.14,°C,,
3SIMG_12SEP2026_1330_L2B_SST_V01R00,3SIMG_L2B_SST,ocean,2026-09-12 13:30:00+00:00,28.88,50.16,32.97,306.12,°C,,
