granule_id,product_id,category,observation_time,latitude,longitude,value,secondary_value,unit,state,district
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,36.89,74.52,474.94,259.42,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,36.88,74.93,524.95,265.3,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,36.88,75.36,474.97,260.79,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,36.45,73.29,624.97,277.42,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,36.45,73.72,599.97,275.23,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,36.44,74.15,574.96,272.58,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,36.43,74.57,574.97,271.98,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,36.43,74.99,524.95,265.66,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,36.42,75.41,549.93,266.93,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,36.41,75.83,574.93,268.79,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,36.01,72.93,549.97,270.1,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,36.0,73.36,574.95,270.96,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,35.98,73.78,599.96,274.16,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,35.98,74.2,649.95,279.0,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,35.98,74.61,474.97,261.65,hPa,,
3SIMG_12SEP2026_1400_L2B_CTP_V01R00,3SIMG_L2B_CTP,weather,2026-09-12 14:00:00+00:00,35.96,75.04,549.93,267.2,hPa,,
