granule_id,product_id,category,observation_time,latitude,longitude,value,secondary_value,unit,state,district
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.85,73.86,27.33,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.85,73.91,27.5,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.85,73.95,27.34,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.84,74.14,28.98,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.8,73.86,27.07,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.79,73.91,27.2,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.79,73.96,27.05,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.79,74.01,27.3,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.79,74.05,27.74,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.79,74.1,28.21,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.78,74.67,39.64,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.78,74.71,38.28,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.78,74.76,37.85,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.78,74.9,40.38,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.78,74.95,40.24,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.78,75.0,40.39,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.74,73.92,26.76,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.74,73.97,26.59,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.74,74.01,26.87,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.74,74.06,27.33,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.74,74.11,27.73,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.73,74.63,39.01,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.73,74.67,39.02,,%,,
3SIMG_12SEP2026_1400_L2B_UTH_V01R00,3SIMG_L2B_UTH,weather,2026-09-12 14:00:00+00:00,36.73,74.72,38.16,,%,,
