granule_id,product_id,category,observation_time,latitude,longitude,value,secondary_value,unit,state,district
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,37.04,74.59,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,37.04,74.64,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,37.04,74.69,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,37.03,75.21,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,37.03,75.25,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,37.03,75.3,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.99,74.6,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.99,74.64,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.99,74.69,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.99,74.74,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.98,74.79,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.98,74.83,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.98,75.21,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.98,75.26,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.98,75.31,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.98,75.35,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.94,74.37,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.94,74.41,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.94,74.46,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.94,74.51,0.0,,mm/hr,,
3SIMG_12SEP2026_1600_L2B_HEM_V01R00,3SIMG_L2B_HEM,weather,2026-09-12 16:00:00+00:00,36.94,74.56,0.0,,mm/hr,,
